,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：a2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
4,,中信期货,2468,,-264,,
5,,海通期货,2373,,-290,,
6,,方正中期,1762,,-7,,
7,,国富期货,1737,,-247,,
8,,永安期货,1725,,-587,,
9,,平安期货,1695,,-340,,
10,,银河期货,1576,,588,,
11,,光大期货,1384,,158,,
12,,国联期货,1224,,853,,
13,,宏源期货,1205,,567,,
14,,华泰期货,1140,,-1179,,
15,,浙商期货,1089,,-266,,
16,,中信建投,1077,,-227,,
17,,国投安信,1053,,-553,,
18,,一德期货,1039,,-288,,
19,,华安期货,971,,-263,,
20,,先融期货,864,,642,,
总计,,,,36130,,-2637,,

名次,,会员简称,持买单量,增减,,
1,,通惠期货,9679,,-70,,
2,,新湖期货,5847,,108,,
3,,建信期货,5536,,-43,,
4,,华泰期货,4878,,-255,,
5,,永安期货,4619,,467,,
6,,鲁证期货,4362,,-8,,
7,,中信期货,4116,,594,,
8,,一德期货,4028,,-26,,
9,,招商期货,2816,,-28,,
10,,银河期货,2478,,-23,,
11,,海通期货,2371,,4,,
12,,平安期货,2330,,20,,
13,,长江期货,2319,,-92,,
14,,方正中期,2306,,31,,
15,,东海期货,2243,,-220,,
16,,国投安信,2165,,218,,
17,,国泰君安,2161,,1,,
18,,兴业期货,1932,,-160,,
19,,东证期货,1696,,64,,
20,,中银国际,1680,,0,,
总计,,,,69562,,582,,

名次,,会员简称,持卖单量,增减,,
1,,永安期货,8545,,492,,
2,,银河期货,5285,,5,,
3,,中信期货,4644,,46,,
4,,国投安信,4529,,45,,
5,,国泰君安,4307,,82,,
6,,东证期货,4154,,114,,
7,,东海期货,4141,,133,,
8,,申银万国,4050,,53,,
9,,华泰期货,3243,,-9,,
10,,格林大华,3196,,-9,,
11,,上海大陆,3119,,99,,
12,,一德期货,2630,,-387,,
13,,招商期货,2272,,108,,
