,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：a2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
8,,永安期货,726,,120,,
9,,兴证期货,639,,101,,
10,,宝城期货,613,,109,,
11,,长江期货,570,,-4,,
12,,招商期货,567,,33,,
13,,浙商期货,561,,-18,,
14,,东海期货,544,,72,,
15,,东证期货,474,,92,,
16,,国富期货,463,,280,,
17,,冠通期货,446,,-66,,
18,,宏源期货,434,,175,,
19,,东航期货,425,,17,,
20,,东吴期货,420,,-6,,
总计,,,,15945,,877,,

名次,,会员简称,持卖单量,增减,,
1,,永安期货,4018,,688,,
2,,银河期货,1902,,-249,,
3,,中国国际,996,,14,,
4,,北京首创,963,,-657,,
5,,国泰君安,852,,-3,,
6,,长江期货,763,,194,,
7,,东海期货,718,,-80,,
8,,中信期货,642,,-29,,
9,,东证期货,594,,40,,
10,,华泰期货,573,,12,,
11,,东航期货,544,,-3,,
12,,先锋期货,513,,-1,,
13,,宏源期货,512,,-11,,
14,,中辉期货,491,,-25,,
15,,中信建投,483,,90,,
16,,兴业期货,471,,106,,
17,,国富期货,459,,237,,
18,,中钢期货,433,,-48,,
19,,申银万国,422,,127,,
20,,东吴期货,419,,-15,,
总计,,,,16768,,387,,



会员类别,总成交量,增减,,
期货公司会员,14000,,6240,,

会员类别,总持买单量,增减,,
期货公司会员,15945,,877,,

会员类别,总持卖单量,增减,,
期货公司会员,16768,,387,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：jd2001,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,38009,,-4956,,
2,,中信期货,11483,,-2799,,
3,,徽商期货,8257,,-4623,,
4,,海通期货,8226,,-2031,,
5,,方正中期,8009,,-3832,,
6,,宏源期货,6603,,-987,,
7,,国泰君安,5911,,-2843,,
8,,东方财富,5506,,-886,,
9,,华安期货,4647,,-4384,,
10,,永安期货,4584,,-952,,
11,,银河期货,4099,,-3059,,
12,,金瑞期货,3936,,840,,
13,,华泰期货,3901,,-3218,,
14,,广发期货,3889,,-368,,
15,,兴证期货,3786,,334,,
16,,中信建投,3724,,-2859,,
17,,申银万国,3690,,-4523,,
18,,南华期货,3651,,-181,,
19,,新纪元期货,3627,,788,,
20,,国富期货,3555,,-835,,
总计,,,,139093,,-41374,,

名次,,会员简称,持买单量,增减,,
1,,中信期货,3912,,11,,
2,,国泰君安,3173,,-47,,
3,,永安期货,3010,,-606,,
4,,长江期货,2819,,177,,
5,,徽商期货,2678,,33,,
6,,东证期货,2664,,-179,,
7,,华泰期货,2512,,-374,,
8,,中信建投,2428,,60,,
9,,银河期货,2376,,-106,,
10,,宏源期货,2330,,250,,
11,,广发期货,2319,,114,,
12,,方正中期,2172,,-226,,
13,,申银万国,1872,,-79,,
14,,鲁证期货,1815,,138,,
15,,兴证期货,1702,,-713,,
16,,海通期货,1693,,-1654,,
17,,华安期货,1517,,-185,,
18,,浙商期货,1441,,19,,
19,,光大期货,1438,,60,,
20,,招金期货,1402,,636,,
总计,,,,45273,,-2671,,

名次,,会员简称,持卖单量,增减,,
1,,永安期货,4834,,824,,
2,,东证期货,2710,,-40,,
3,,方正中期,2631,,-105,,
4,,中信期货,2589,,-128,,
5,,徽商期货,2584,,-792,,
6,,中国国际,2438,,-335,,
7,,兴证期货,2288,,-187,,
8,,中信建投,2159,,36,,
9,,海通期货,2018,,-106,,
10,,东方财富,1921,,-460,,
11,,宏源期货,1913,,-505,,
12,,银河期货,1894,,-333,,
13,,华泰期货,1888,,-91,,
14,,汇鑫期货,1810,,576,,
15,,鲁证期货,1783,,-4,,
16,,美尔雅期货,1754,,161,,
17,,英大期货,1704,,276,,
18,,格林大华,1668,,-354,,
19,,国泰君安,1658,,98,,
20,,华安期货,1624,,-86,,
总计,,,,43868,,-1555,,



会员类别,总成交量,增减,,
期货公司会员,139093,,-41374,,

会员类别,总持买单量,增减,,
期货公司会员,45273,,-2671,,

会员类别,总持卖单量,增减,,
期货公司会员,43868,,-1555,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：a2001,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,21056,,3641,,
2,,一德期货,13232,,1029,,
3,,海通期货,10981,,545,,
4,,国泰君安,8511,,193,,
5,,中信期货,8127,,2052,,
6,,华安期货,5811,,1589,,
7,,申银万国,5028,,2605,,
8,,兴证期货,4685,,1212,,
9,,国富期货,4377,,1174,,
10,,东吴期货,4062,,1747,,
11,,方正中期,3679,,635,,
12,,华泰期货,3603,,228,,
13,,国信期货,3478,,2027,,
14,,徽商期货,2718,,170,,
15,,银河期货,2493,,-383,,
16,,永安期货,2353,,1243,,
17,,鲁证期货,2044,,-259,,
18,,金瑞期货,1833,,-240,,
19,,摩根大通,1626,,1626,,
20,,国投安信,1582,,-706,,
总计,,,,111279,,20128,,

名次,,会员简称,持买单量,增减,,
1,,国泰君安,5420,,117,,
2,,华安期货,3441,,-256,,
3,,徽商期货,3054,,-66,,
4,,国投安信,2977,,0,,
5,,鲁证期货,2250,,-279,,
6,,东吴期货,2231,,1745,,
7,,永安期货,2172,,-389,,
8,,南华期货,1968,,41,,
9,,中粮期货,1847,,9,,
10,,方正中期,1745,,-24,,
11,,东证期货,1671,,182,,
12,,上海中期,1387,,12,,
13,,中信期货,1323,,-365,,
14,,海通期货,1309,,-160,,
15,,华泰期货,1224,,-91,,
16,,中国国际,1200,,53,,
17,,银河期货,1092,,-206,,
18,,兴证期货,1075,,-396,,
19,,国信期货,1065,,500,,
20,,宝城期货,1026,,-138,,
总计,,,,39477,,289,,

名次,,会员简称,持卖单量,增减,,
1,,中信期货,7737,,246,,
2,,国投安信,4360,,-148,,
3,,华泰期货,3988,,-598,,
4,,兴证期货,3000,,379,,
5,,国泰君安,2811,,120,,
6,,永安期货,2415,,92,,
7,,东证期货,2116,,14,,
8,,宏源期货,1913,,103,,
9,,方正中期,1853,,-21,,
10,,摩根大通,1768,,-1626,,
11,,海通期货,1589,,-427,,
12,,广发期货,1418,,6,,
13,,南华期货,1362,,-20,,
14,,中粮期货,1285,,-6,,
15,,国信期货,1234,,-222,,
16,,东兴期货,1225,,0,,
17,,国海良时,1064,,-742,,
18,,鲁证期货,1049,,-21,,
19,,中金期货,1027,,-147,,
20,,广州期货,1006,,70,,
总计,,,,44220,,-2948,,



会员类别,总成交量,增减,,
期货公司会员,111279,,20128,,

会员类别,总持买单量,增减,,
期货公司会员,39477,,289,,

会员类别,总持卖单量,增减,,
期货公司会员,44220,,-2948,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：p2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,103326,,22159,,
2,,光大期货,56109,,12542,,
3,,华泰期货,28021,,11403,,
4,,新湖期货,19047,,968,,
5,,国泰君安,17453,,-5149,,
6,,广发期货,17356,,6616,,
7,,海通期货,16256,,8238,,
8,,国元期货,15927,,1480,,
9,,徽商期货,15385,,4993,,
10,,华安期货,15365,,1802,,
11,,申银万国,15042,,1626,,
12,,招商期货,13482,,714,,
13,,永安期货,13224,,3566,,
14,,银河期货,12387,,4531,,
15,,浙商期货,12087,,1522,,
16,,中信期货,11348,,4094,,
17,,安粮期货,10719,,3774,,
18,,国投安信,9965,,1877,,
19,,国富期货,9492,,4388,,
20,,中信建投,9483,,4245,,
总计,,,,421474,,95389,,

名次,,会员简称,持买单量,增减,,
1,,国投安信,30890,,-2479,,
2,,中国国际,19649,,-689,,
3,,东证期货,18976,,1201,,
4,,永安期货,17496,,4750,,
5,,银河期货,15441,,7622,,
6,,安粮期货,10331,,-335,,
7,,一德期货,8982,,-1147,,
8,,广发期货,8926,,1126,,
9,,海通期货,8686,,2795,,
10,,申银万国,8670,,2185,,
11,,中粮期货,7186,,2325,,
12,,南华期货,6585,,2847,,
13,,鲁证期货,6006,,-172,,
14,,美尔雅期货,4730,,270,,
15,,光大期货,4421,,1910,,
16,,中信期货,4333,,-323,,
17,,平安期货,4102,,118,,
18,,格林大华,3989,,-351,,
19,,方正中期,3699,,637,,
20,,华泰期货,3570,,623,,
总计,,,,196668,,22913,,

名次,,会员简称,持卖单量,增减,,
1,,中粮期货,26648,,-2182,,
2,,广发期货,17950,,5786,,
3,,国投安信,14238,,1350,,
4,,华泰期货,12932,,6322,,
5,,东证期货,12245,,1267,,
6,,银河期货,12060,,413,,
7,,永安期货,9925,,196,,
8,,徽商期货,9261,,171,,
9,,国富期货,8833,,275,,
10,,申银万国,7750,,39,,
11,,北京首创,7535,,26,,
12,,首创京都,7014,,-1,,
13,,中信期货,6583,,-2621,,
14,,鲁证期货,6103,,135,,
15,,摩根大通,5619,,0,,
16,,中航期货,5102,,604,,
17,,英大期货,4892,,-7,,
18,,德盛期货,4858,,1997,,
19,,渤海期货,4566,,992,,
20,,一德期货,4119,,702,,
总计,,,,188233,,15464,,



会员类别,总成交量,增减,,
期货公司会员,421474,,95389,,

会员类别,总持买单量,增减,,
期货公司会员,196668,,22913,,

会员类别,总持卖单量,增减,,
期货公司会员,188233,,15464,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：m2003,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,方正中期,18680,,1200,,
2,,中粮期货,6347,,1667,,
3,,国海良时,6097,,2338,,
4,,海通期货,5929,,-1215,,
5,,弘业期货,5225,,1482,,
6,,格林大华,4734,,1568,,
7,,鲁证期货,4186,,264,,
8,,东证期货,4034,,1260,,
9,,国投安信,3114,,-410,,
10,,迈科期货,2233,,1326,,
11,,银河期货,2102,,-78,,
12,,西部期货,1423,,-859,,
13,,南华期货,1388,,-2801,,
14,,锦泰期货,1376,,114,,
15,,光大期货,1372,,-509,,
16,,中信期货,1325,,1015,,
17,,国信期货,1071,,58,,
18,,美尔雅期货,1065,,120,,
19,,国泰君安,668,,-57,,
20,,新湖期货,583,,-202,,
总计,,,,72952,,6281,,

名次,,会员简称,持买单量,增减,,
1,,中粮期货,27535,,2613,,
2,,申银万国,19361,,-37,,
3,,南华期货,18407,,132,,
4,,上海中期,17025,,7,,
5,,浙商期货,16072,,-13,,
6,,格林大华,15058,,-1100,,
7,,弘业期货,13691,,-191,,
8,,方正中期,13312,,2626,,
9,,银河期货,12511,,1028,,
10,,国海良时,11583,,-1,,
11,,鲁证期货,11290,,159,,
12,,新湖期货,10489,,-28,,
13,,国投安信,10206,,-91,,
14,,海通期货,9076,,-9,,
15,,迈科期货,2221,,-4,,
16,,中信期货,1402,,1209,,
17,,五矿经易,1105,,0,,
18,,金瑞期货,666,,-3,,
19,,中财期货,485,,-32,,
20,,中辉期货,398,,-98,,
总计,,,,211893,,6167,,

名次,,会员简称,持卖单量,增减,,
1,,中粮期货,27072,,1900,,
2,,申银万国,19202,,-24,,
3,,南华期货,18883,,132,,
4,,上海中期,17016,,3,,
5,,浙商期货,16259,,-1,,
6,,格林大华,14913,,-1094,,
7,,方正中期,14541,,2638,,
8,,弘业期货,13662,,-100,,
9,,银河期货,12630,,1042,,
10,,新湖期货,11854,,375,,
11,,国海良时,11495,,0,,
12,,鲁证期货,11420,,147,,
13,,国投安信,10917,,105,,
14,,海通期货,9003,,0,,
15,,迈科期货,2162,,-1,,
16,,国贸期货,533,,4,,
17,,摩根大通,500,,0,,
18,,华泰期货,470,,177,,
19,,一德期货,405,,0,,
20,,广发期货,338,,33,,
总计,,,,213275,,5336,,



会员类别,总成交量,增减,,
期货公司会员,72952,,6281,,

会员类别,总持买单量,增减,,
期货公司会员,211893,,6167,,

会员类别,总持卖单量,增减,,
期货公司会员,213275,,5336,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：jd2009,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,方正中期,291,,-760,,
2,,华泰期货,253,,17,,
3,,北京首创,193,,-33,,
4,,宏源期货,186,,-41,,
5,,浙商期货,176,,-210,,
6,,徽商期货,166,,-403,,
7,,华安期货,152,,-175,,
8,,中财期货,150,,-102,,
9,,东海期货,137,,-236,,
10,,中信期货,130,,39,,
11,,先锋期货,130,,-142,,
12,,中投期货,128,,-256,,
13,,中衍期货,111,,-16,,
14,,西部期货,109,,37,,
15,,广发期货,98,,-13,,
16,,鲁证期货,81,,-6,,
17,,东航期货,80,,-61,,
18,,海通期货,68,,-71,,
19,,长江期货,65,,-31,,
20,,银河期货,61,,3,,
总计,,,,2765,,-2460,,

名次,,会员简称,持买单量,增减,,
1,,中财期货,1275,,116,,
2,,北京首创,926,,179,,
3,,华闻期货,870,,10,,
4,,方正中期,660,,0,,
5,,中辉期货,653,,20,,
6,,中衍期货,615,,100,,
7,,上海中期,606,,0,,
8,,九州期货,562,,0,,
9,,中投期货,542,,0,,
10,,海证期货,485,,0,,
11,,永安期货,485,,6,,
12,,宏源期货,358,,2,,
13,,上海大陆,299,,2,,
14,,申银万国,291,,-13,,
15,,东航期货,284,,-2,,
16,,长江期货,260,,-3,,
17,,中信期货,254,,3,,
18,,东证期货,254,,-6,,
19,,华安期货,240,,-23,,
20,,盛达期货,233,,1,,
总计,,,,10152,,392,,

名次,,会员简称,持卖单量,增减,,
1,,中国国际,1264,,4,,
2,,鲁证期货,743,,25,,
3,,格林大华,697,,0,,
4,,英大期货,578,,1,,
5,,银河期货,467,,11,,
6,,徽商期货,440,,-13,,
7,,中信建投,425,,31,,
8,,永安期货,420,,16,,
9,,华泰期货,405,,31,,
10,,信达期货,325,,19,,
11,,东航期货,325,,20,,
12,,宏源期货,317,,-40,,
13,,长江期货,307,,16,,
14,,招金期货,292,,0,,
15,,弘业期货,280,,3,,
16,,汇鑫期货,260,,0,,
17,,先锋期货,255,,-51,,
18,,中银国际,242,,29,,
19,,华安期货,239,,-47,,
20,,华信期货,235,,3,,
总计,,,,8516,,58,,



会员类别,总成交量,增减,,
期货公司会员,2765,,-2460,,

会员类别,总持买单量,增减,,
期货公司会员,10152,,392,,

会员类别,总持卖单量,增减,,
期货公司会员,8516,,58,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：pp2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,21079,,4949,,
2,,永安期货,7640,,5476,,
3,,海通期货,4457,,985,,
4,,华泰期货,4187,,2120,,
5,,华安期货,3295,,138,,
6,,建信期货,3203,,1959,,
7,,东海期货,2987,,-1263,,
8,,徽商期货,2749,,821,,
9,,南华期货,2639,,-851,,
10,,广发期货,2538,,1903,,
11,,方正中期,2510,,714,,
12,,中大期货,2343,,1353,,
13,,光大期货,2271,,750,,
14,,申银万国,2241,,1283,,
15,,弘业期货,2200,,1107,,
16,,国投安信,2066,,-151,,
17,,中信期货,2060,,-274,,
18,,浙商期货,1972,,1371,,
19,,上海大陆,1965,,-32,,
20,,华闻期货,1923,,1405,,
总计,,,,76325,,23763,,

名次,,会员简称,持买单量,增减,,
1,,方正中期,14269,,127,,
2,,国投安信,10949,,29,,
3,,南华期货,10173,,1116,,
4,,建信期货,9857,,2215,,
5,,国泰君安,9335,,185,,
6,,申银万国,7720,,1208,,
7,,永安期货,6810,,250,,
8,,中信期货,6788,,820,,
9,,瑞达期货,5861,,228,,
10,,华泰期货,4726,,3,,
11,,广发期货,3553,,1628,,
12,,中财期货,3466,,253,,
13,,中信建投,3369,,360,,
14,,中大期货,3016,,660,,
15,,东海期货,2817,,8,,
16,,中粮期货,2644,,38,,
17,,银河期货,2589,,426,,
18,,新湖期货,2474,,50,,
19,,鲁证期货,2311,,56,,
20,,东证期货,2297,,294,,
总计,,,,115024,,9954,,

名次,,会员简称,持卖单量,增减,,
1,,永安期货,19397,,6848,,
2,,浙商期货,7257,,1566,,
3,,华泰期货,6477,,472,,
4,,中银国际,5816,,-750,,
5,,海证期货,5118,,559,,
6,,方正中期,4923,,1183,,
7,,东证期货,4804,,453,,
8,,倍特期货,4635,,11,,
9,,中财期货,4634,,150,,
10,,国投安信,3952,,-83,,
11,,山西三立,3746,,39,,
12,,海通期货,3643,,125,,
13,,安粮期货,3573,,146,,
14,,浙江新世纪,3365,,-340,,
15,,银河期货,3325,,16,,
16,,一德期货,2882,,-316,,
17,,天风期货,2879,,72,,
18,,信达期货,2618,,5,,
19,,国信期货,2555,,292,,
20,,东海期货,2351,,77,,
总计,,,,97950,,10525,,



会员类别,总成交量,增减,,
期货公司会员,76325,,23763,,

会员类别,总持买单量,增减,,
期货公司会员,115024,,9954,,

会员类别,总持卖单量,增减,,
期货公司会员,97950,,10525,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：i2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,27967,,-4896,,
2,,光大期货,25390,,-1577,,
3,,永安期货,12168,,-5033,,
4,,方正中期,10254,,-2039,,
5,,申银万国,8350,,982,,
6,,中信期货,6481,,-702,,
7,,国信期货,6398,,2919,,
8,,海通期货,5218,,-5801,,
9,,中财期货,5168,,376,,
10,,国富期货,4775,,432,,
11,,鲁证期货,4558,,2893,,
12,,银河期货,4168,,-3008,,
13,,国泰君安,4018,,-1765,,
14,,东吴期货,3895,,-441,,
15,,兴证期货,3557,,2786,,
16,,新湖期货,3459,,-1429,,
17,,华泰期货,3312,,-384,,
18,,华安期货,3043,,-50,,
19,,徽商期货,3041,,-1444,,
20,,国投安信,2467,,-336,,
总计,,,,147687,,-18517,,

名次,,会员简称,持买单量,增减,,
1,,方正中期,11530,,2371,,
2,,国投安信,11509,,284,,
3,,永安期货,11030,,-3712,,
4,,银河期货,10949,,102,,
5,,东证期货,10209,,-206,,
6,,国泰君安,9084,,190,,
7,,申银万国,9075,,1273,,
8,,徽商期货,6703,,916,,
9,,中粮期货,6509,,-9,,
10,,西南期货,5265,,-9,,
11,,海证期货,5122,,124,,
12,,中辉期货,4937,,86,,
13,,中信建投,4817,,-49,,
14,,广发期货,4751,,43,,
15,,中信期货,4546,,-230,,
16,,宝城期货,4324,,-56,,
17,,国富期货,4139,,215,,
18,,兴证期货,4011,,-2721,,
19,,一德期货,3967,,143,,
20,,国信期货,3720,,-10,,
总计,,,,136197,,-1255,,

名次,,会员简称,持卖单量,增减,,
1,,永安期货,14323,,-134,,
2,,中信期货,12483,,-427,,
3,,银河期货,12414,,-376,,
4,,国投安信,10072,,-547,,
5,,东证期货,10006,,-19,,
6,,方正中期,8248,,-1941,,
7,,国联期货,7418,,-23,,
8,,鲁证期货,6669,,-1062,,
9,,一德期货,6267,,-764,,
10,,徽商期货,5975,,75,,
11,,北京金鹏,5750,,10,,
12,,中财期货,5018,,1816,,
13,,广发期货,4865,,13,,
14,,道通期货,4552,,0,,
15,,中信建投,4457,,10,,
16,,天风期货,4372,,478,,
17,,国泰君安,4324,,490,,
18,,华泰期货,4242,,51,,
19,,申银万国,3917,,473,,
20,,中辉期货,3789,,38,,
总计,,,,139161,,-1839,,



会员类别,总成交量,增减,,
期货公司会员,147687,,-18517,,

会员类别,总持买单量,增减,,
期货公司会员,136197,,-1255,,

会员类别,总持卖单量,增减,,
期货公司会员,139161,,-1839,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：j2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,10805,,1592,,
2,,光大期货,5063,,-327,,
3,,国富期货,3595,,511,,
4,,华泰期货,2815,,796,,
5,,银河期货,2425,,943,,
6,,海通期货,2404,,276,,
7,,永安期货,2281,,-73,,
8,,一德期货,2065,,511,,
9,,安粮期货,1935,,877,,
10,,国泰君安,1860,,-2504,,
11,,方正中期,1638,,-386,,
12,,东海期货,1452,,585,,
13,,华安期货,1386,,215,,
14,,弘业期货,1344,,448,,
15,,中信期货,1232,,233,,
16,,中辉期货,1165,,268,,
17,,徽商期货,1091,,-204,,
18,,金瑞期货,1073,,350,,
19,,国投安信,1056,,107,,
20,,申银万国,978,,-2151,,
总计,,,,47663,,2067,,

名次,,会员简称,持买单量,增减,,
1,,光大期货,3989,,104,,
2,,一德期货,2758,,1140,,
3,,东证期货,2681,,-1819,,
4,,方正中期,2470,,-72,,
5,,华泰期货,1700,,228,,
6,,银河期货,1436,,102,,
7,,西南期货,1203,,-5,,
8,,国富期货,1157,,54,,
9,,国泰君安,1154,,-125,,
10,,永安期货,1039,,11,,
11,,中信期货,1013,,111,,
12,,申银万国,834,,-60,,
13,,中大期货,830,,-1,,
14,,中财期货,686,,-78,,
15,,平安期货,673,,59,,
16,,海通期货,664,,8,,
17,,广发期货,615,,38,,
18,,兴业期货,611,,23,,
19,,东海期货,603,,33,,
20,,大地期货,565,,122,,
总计,,,,26681,,-127,,

名次,,会员简称,持卖单量,增减,,
1,,光大期货,5004,,-223,,
2,,国泰君安,4215,,805,,
3,,永安期货,3387,,-16,,
4,,申银万国,2718,,-164,,
5,,金元期货,2015,,802,,
6,,五矿经易,1918,,18,,
7,,东证期货,1883,,-1944,,
8,,方正中期,1539,,244,,
9,,国富期货,1201,,13,,
10,,一德期货,1150,,175,,
11,,银河期货,1099,,315,,
12,,华泰期货,1050,,67,,
13,,英大期货,1042,,173,,
14,,浙商期货,919,,149,,
15,,东方汇金,746,,-100,,
16,,海通期货,686,,112,,
17,,国投安信,628,,123,,
18,,宏源期货,612,,132,,
19,,中信建投,594,,64,,
20,,安粮期货,571,,36,,
总计,,,,32977,,781,,



会员类别,总成交量,增减,,
期货公司会员,47663,,2067,,

会员类别,总持买单量,增减,,
期货公司会员,26681,,-127,,

会员类别,总持卖单量,增减,,
期货公司会员,32977,,781,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：jm2001,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,28872,,6976,,
2,,国富期货,26239,,6139,,
3,,光大期货,12901,,3529,,
4,,中信期货,10963,,5658,,
5,,兴证期货,9810,,4479,,
6,,国泰君安,9253,,922,,
7,,海通期货,8707,,1325,,
8,,永安期货,8275,,4780,,
9,,中辉期货,7864,,508,,
10,,华泰期货,6765,,2295,,
11,,徽商期货,6649,,3136,,
12,,国联期货,5508,,1614,,
13,,方正中期,5298,,2058,,
14,,广发期货,5274,,1332,,
15,,申银万国,5196,,1388,,
16,,冠通期货,3863,,2372,,
17,,银河期货,3826,,1925,,
18,,国投安信,3816,,2361,,
19,,新纪元期货,3390,,1557,,
20,,安粮期货,3278,,2063,,
总计,,,,175747,,56417,,

名次,,会员简称,持买单量,增减,,
1,,东证期货,11809,,2309,,
2,,国富期货,8572,,1944,,
3,,中信期货,7118,,2221,,
4,,永安期货,4617,,-36,,
5,,先融期货,4318,,-469,,
6,,中粮期货,4158,,42,,
7,,海通期货,3135,,1709,,
8,,兴证期货,2859,,647,,
9,,国泰君安,2781,,129,,
10,,光大期货,2624,,-439,,
11,,中辉期货,2498,,819,,
12,,方正中期,2392,,18,,
13,,银河期货,2322,,-547,,
14,,一德期货,2253,,-716,,
15,,国投安信,2009,,-241,,
16,,英大期货,1860,,16,,
17,,广发期货,1727,,-172,,
18,,华泰期货,1715,,254,,
19,,深圳金汇,1563,,-130,,
20,,申银万国,1514,,-948,,
总计,,,,71844,,6410,,

名次,,会员简称,持卖单量,增减,,
1,,东证期货,10212,,1031,,
2,,中信期货,7931,,-344,,
3,,国富期货,7099,,1015,,
4,,永安期货,5895,,3223,,
5,,兴证期货,4851,,-121,,
6,,国泰君安,4532,,-718,,
7,,国联期货,3644,,3051,,
8,,华泰期货,3252,,-2317,,
9,,银河期货,2904,,-855,,
10,,海通期货,2883,,1052,,
11,,摩根大通,2836,,-180,,
12,,光大期货,2737,,-2440,,
13,,申银万国,2600,,92,,
14,,冠通期货,2522,,2297,,
15,,方正中期,2057,,-344,,
16,,中粮期货,2004,,839,,
17,,中辉期货,1973,,65,,
18,,中信建投,1751,,67,,
19,,五矿经易,1725,,101,,
20,,广发期货,1608,,88,,
总计,,,,75016,,5602,,



会员类别,总成交量,增减,,
期货公司会员,175747,,56417,,

会员类别,总持买单量,增减,,
期货公司会员,71844,,6410,,

会员类别,总持卖单量,增减,,
期货公司会员,75016,,5602,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：y2009,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,一德期货,3069,,2117,,
2,,国泰君安,1889,,972,,
3,,方正中期,1703,,771,,
4,,中粮期货,1693,,1111,,
5,,国投安信,1425,,-262,,
6,,英大期货,1204,,1201,,
7,,宏源期货,898,,-329,,
8,,东证期货,874,,676,,
9,,中财期货,874,,671,,
10,,招金期货,691,,72,,
11,,国元期货,531,,-859,,
12,,国富期货,520,,-185,,
13,,海通期货,515,,394,,
14,,国金期货,465,,41,,
15,,光大期货,436,,382,,
16,,申银万国,424,,-293,,
17,,华安期货,352,,111,,
18,,银河期货,343,,155,,
19,,中州期货,322,,264,,
20,,徽商期货,283,,-183,,
总计,,,,18511,,6827,,

名次,,会员简称,持买单量,增减,,
1,,中财期货,10263,,-672,,
2,,光大期货,7057,,414,,
3,,五矿经易,5972,,-95,,
4,,前海期货,5006,,0,,
5,,上海中期,4802,,51,,
6,,永安期货,3915,,148,,
7,,一德期货,3675,,1830,,
8,,中粮期货,2732,,271,,
9,,申银万国,1829,,94,,
10,,中信期货,1718,,138,,
11,,鲁证期货,1555,,194,,
12,,创元期货,1404,,-4,,
13,,招金期货,1274,,274,,
14,,北京首创,984,,68,,
15,,东证期货,950,,267,,
16,,国泰君安,941,,123,,
17,,华安期货,874,,215,,
18,,安粮期货,869,,1,,
19,,中大期货,699,,252,,
20,,国富期货,652,,127,,
总计,,,,57171,,3696,,

名次,,会员简称,持卖单量,增减,,
1,,中粮期货,22739,,1060,,
2,,宏源期货,9440,,339,,
3,,国投安信,6109,,1197,,
4,,光大期货,5010,,8,,
5,,国泰君安,4489,,136,,
6,,英大期货,3648,,1197,,
7,,平安期货,3605,,0,,
8,,一德期货,3572,,1195,,
9,,新湖期货,2569,,0,,
10,,国富期货,2563,,47,,
11,,摩根大通,2516,,0,,
12,,银河期货,1972,,0,,
13,,中信期货,1336,,0,,
14,,国信期货,1283,,-2,,
15,,北京首创,970,,0,,
16,,信达期货,630,,-20,,
17,,迈科期货,354,,0,,
18,,鲁证期货,342,,0,,
19,,上海大陆,290,,0,,
20,,永安期货,252,,24,,
总计,,,,73689,,5181,,



会员类别,总成交量,增减,,
期货公司会员,18511,,6827,,

会员类别,总持买单量,增减,,
期货公司会员,57171,,3696,,

会员类别,总持卖单量,增减,,
期货公司会员,73689,,5181,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：v2001,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,26293,,-12227,,
2,,兴证期货,19478,,-2787,,
3,,方正中期,6840,,1604,,
4,,华金期货,5822,,-5366,,
5,,海通期货,5726,,53,,
6,,中信期货,5461,,1611,,
7,,国泰君安,4026,,-1257,,
8,,徽商期货,3919,,1336,,
9,,永安期货,3733,,-1101,,
10,,光大期货,3416,,-1851,,
11,,申银万国,3244,,-3399,,
12,,宏源期货,2937,,-1871,,
13,,国富期货,2926,,-1923,,
14,,华泰期货,2629,,-515,,
15,,中辉期货,2413,,-155,,
