商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,期货公司  ,期货公司  ,182357,6637,期货公司  ,期货公司  ,260868,3665,期货公司  ,期货公司  ,267278,3860,
商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,非期货公司,非期货公司,1501,-145,非期货公司,非期货公司,10469,173,非期货公司,非期货公司,4059,-22,
13,0139      ,中粮期货  ,202,115,0004      ,国泰君安  ,326,0,0025      ,铜冠金源  ,247,1,
14,0315      ,云晨期货  ,187,184,0125      ,中大期货  ,313,18,0028      ,通惠期货  ,220,0,
15,0096      ,南华期货  ,152,83,0103      ,永安期货  ,308,1,0139      ,中粮期货  ,220,202,
16,0308      ,国信期货  ,146,-34,0178      ,弘业期货  ,302,1,0311      ,兴证期货  ,212,-7,
17,0069      ,申万期货  ,136,110,0253      ,华泰期货  ,288,11,0299      ,华安期货  ,199,117,
18,0299      ,华安期货  ,131,131,0019      ,宝城期货  ,281,9,0315      ,云晨期货  ,196,181,
19,0240      ,广发期货  ,116,82,0034      ,方正中期  ,277,21,0259      ,华闻期货  ,164,0,
20,0137      ,宏源期货  ,109,53,0008      ,上海中期  ,242,2,0320      ,大有期货  ,151,105,
合计:cu2003                        ,,,6450,1780,,,12939,389,,,15457,951,
商品名称:铝                  ,合约代码:alall                         ,,,,,,,,,
,期货公司  ,期货公司  ,167182,-48964,期货公司  ,期货公司  ,316560,-5794,期货公司  ,期货公司  ,318818,-4334,
商品名称:铝                  ,合约代码:alall                         ,,,,,,,,,
,非期货公司,非期货公司,1510,1510,非期货公司,非期货公司,2548,1435,非期货公司,非期货公司,290,-25,
RANK1合约代码:al1912                        ,,,,,,,,,,
1,0081      ,海通期货  ,8063,-2249,0103      ,永安期货  ,5763,-129,0315      ,云晨期货  ,13538,362,
2,0163      ,东证期货  ,2459,-2178,0308      ,国信期货  ,4944,-25,0082      ,国投安信  ,7761,-84,
3,0253      ,华泰期货  ,1979,-1299,0148      ,中信期货  ,4169,-205,0148      ,中信期货  ,7076,-108,
4,0315      ,云晨期货  ,1928,1683,0272      ,银河期货  ,3953,-121,0157      ,中国国际  ,6178,-69,
5,0275      ,鲁证期货  ,1634,844,0275      ,鲁证期货  ,3918,-1003,0116      ,首创期货  ,4258,11,
6,0148      ,中信期货  ,1581,-2136,0139      ,中粮期货  ,3685,-219,0003      ,建信期货  ,2858,-183,
